AL,Alabama,35936
AK,Alaska,28304
AZ,Arizona,7016
AR,Arkansas,3004
CA,California,35936
CO,Colorado,5607
CT,Connecticut,3588
DE,Delaware,961
FL,Florida,20984
GA,Georgia,10429
HI,Hawaii,1427
ID,Idaho,1716
IL,Illinois,12346
IN,Indiana,6667
IA,Iowa,3415
KS,Kansas,2913
KY,Kentucky,4454
LA,Louisiana,4684
ME,Maine,1335
MD,Maryland,6052
MA,Massachusetts,6859
MI,Michigan,9962
MN,Minnesota,5576
MS,Mississippi,2984
MO,Missouri,6113
MT,Montana,1050
NE,Nebraska,1920
NV,Nevada,2998
NH,New Hampshire,1342
NJ,New Jersey,9005
NM,New Mexico,2088
NY,New York,19849
NC,North Carolina,10273
ND,North Dakota,755
OH,Ohio,11658
OK,Oklahoma,3930
OR,Oregon,12805
PA,Pennsylvania,12805
RI,Rhode Island,1059
SC,South Carolina,5024
SD,South Dakota,869
TN,Tennessee,6715
TX,Texas,28304
UT,Utah,3101
VT,Vermont,623
VA,Virginia,8470
WA,Washington,7405
WV,West Virginia,1815
WI,Wisconsin,5795
WY,Wyoming,579